來源/媒介,廣告活動,網頁標題,網頁路徑,所有使用者,工作階段,瀏覽,平均觀看次數,平均使用者參與
line-lap / ar1,20260413-8-3,齊興_緻-台北市北投區/北士科住宅預售屋,/buildings/ar1/,16775,19512,20282,1.2090611028315947,18.121192250372577
line-lap / ar1,20260413-8-3,遠房實價登錄,/,13553,15879,16493,1.2169261418136206,0.0008116284217516418
google / cpc,dgc,遠雄蘴靚｜高雄楠梓新門戶｜捷運R21站旁｜3795坪豪闊基地,/buildings/eh6/,12238,14443,17397,1.4215558097728387,9.383804543226017
line-lap / hm2,0201,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,9313,12281,12848,1.3795769354665521,14.567056802319339
(direct) / (none),(direct),遠房實價登錄,/,9169,9417,10073,1.0985930853964445,0.15105245937397754
line-lap / ah1,lap-5,北士科建案【遠雄明玥】2000坪全街廓只蓋一棟．25-46坪,/buildings/ah1/,7456,8893,8787,1.1785139484978542,5.6846834763948495
line-lap / fh2,line-lap12-3,遠雄合雅｜板橋之心・合院之上｜2~4房．24~66坪,/buildings/fh2/,6877,8183,8663,1.259706267267704,7.798313217972954
line / rsh1,line-lap1-4,若水秧翠｜東京視野・頂埔門牌｜1~3房．20~42坪,/buildings/rsh1/,4738,5986,6065,1.2800759814267624,2.182777543267201
line-lap / (not set),2-6,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,4883,5810,5935,1.215441327053041,3.810772066352652
line / rsh1,line-lap1-5_600x400,若水秧翠｜東京視野・頂埔門牌｜1~3房．20~42坪,/buildings/rsh1/,4357,5602,5804,1.3321092494835896,8.946752352536148
line-lap / 5vo1,2-6,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,4787,5595,5731,1.1972007520367662,3.6824733653645287
fb / hm2,0201,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,5409,5550,5681,1.0502865594379738,1.5766315400258828
google / cpc,gdn,遠雄蘴靚｜高雄楠梓新門戶｜捷運R21站旁｜3795坪豪闊基地,/buildings/eh6/,4604,5374,6049,1.3138575152041703,8.377497827975674
line-lap / fh2,line-lap12-2,遠雄合雅｜板橋之心・合院之上｜2~4房．24~66坪,/buildings/fh2/,3459,4807,5039,1.4567794160161895,8.344608268285631
line / bh11,26_4-1,遠雄14期首發【遠雄丰尚】北屯新案．近漢神洲際百貨,/buildings/bh11/,3714,4419,4641,1.2495961227786754,12.555735056542812
fb / hm2,0205,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,3949,4155,4230,1.0711572550012662,1.5373512281590276
line-lap / ar1,20260413-7-1,齊興_緻-台北市北投區/北士科住宅預售屋,/buildings/ar1/,3120,3780,3859,1.2368589743589744,11.135576923076924
line-lap / ah1,lap-5,遠房實價登錄,/,3178,3285,3424,1.0774071743234739,0
line-lap / 5vo1,2-7,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,2465,3273,3490,1.4158215010141988,21.511967545638946
line-lap / ar1,20260413-7-1,遠房實價登錄,/,2611,3086,3202,1.2263500574492532,0.03715051704327844
line-lap / (not set),2-7,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,2263,3004,3159,1.3959346000883783,18.66858152894388
line-lap / fh2,line-lap12-3,遠房實價登錄,/,2697,2798,3078,1.1412680756395996,0
google / cpc,(organic),遠房實價登錄,/,2612,2731,3350,1.282542113323124,0.5608728943338438
fb / hm2,0208,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,2630,2706,2803,1.0657794676806083,3.1083650190114067
google / organic,(organic),遠房實價登錄,/,2151,2432,3214,1.494188749418875,0.8712226871222687
line-lap / ar1,20260424-8-5,齊興_緻-台北市北投區/北士科住宅預售屋,/buildings/ar1/,2032,2427,2515,1.2376968503937007,33.41781496062992
line / dgm1,line-lap20263-3,大河商爵-台北市士林區廠辦/預售新建案-預約賞屋，遠創力行銷,/buildings/dgm1/,1391,2361,2694,1.9367361610352265,19.968368080517614
line / rsh1,line-lap1-5,若水秧翠｜東京視野・頂埔門牌｜1~3房．20~42坪,/buildings/rsh1/,1410,2298,2429,1.722695035460993,7.460992907801418
google / cpc,(organic),北士科建案【遠雄明玥】2000坪全街廓只蓋一棟．25-46坪,/buildings/ah1/,2178,2295,2428,1.1147842056932966,28.356749311294767
gdn / hm2,202602,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,1983,2288,2637,1.3298033282904689,18.229954614220876
gdn / hm2,202511,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,2034,2272,2651,1.3033431661750245,20.363323500491642
line-lap / 5vo1,4-1,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,1701,2122,2229,1.310405643738977,6.362727807172251
(direct) / (none),(direct),齊興_緻-台北市北投區/北士科住宅預售屋,/buildings/ar1/,2070,2083,1924,0.9294685990338164,14.728019323671498
line-lap / ar1,20260424-8-5,遠房實價登錄,/,1712,2010,2122,1.2394859813084111,0.02511682242990654
line-lap / hm2,0208,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,1276,1895,2102,1.6473354231974922,21.865987460815045
line / rsh1,line-lap1-4,遠房實價登錄,/,1749,1876,1926,1.1012006861063466,0
(not set),20260407一輪播,遠房實價登錄,/,1376,1827,2003,1.4556686046511629,0.42805232558139533
(not set),20260407一輪播,齊興_緻-台北市北投區/北士科住宅預售屋,/buildings/ar1/,1462,1769,850,0.5813953488372093,47.390560875512996
line / rsh1,line-lap1-5_600x400,遠房實價登錄,/,1657,1746,1820,1.0983705491852747,0
line / bh11,26_3-8,遠雄14期首發【遠雄丰尚】北屯新案．近漢神洲際百貨,/buildings/bh11/,1448,1722,1778,1.227900552486188,10.053867403314918
line-lap / fh2,line-lap12-2,遠房實價登錄,/,1177,1326,1416,1.2030586236193712,0
google / cpc,pmax,遠雄蘴靚｜高雄楠梓新門戶｜捷運R21站旁｜3795坪豪闊基地,/buildings/eh6/,1128,1246,1416,1.2553191489361701,36.25
google / organic,(organic),贈與稅與遺產稅免稅額解析｜房產贈與、買賣、繼承怎麼選 - 遠雄房地產,/life-proposal/gift_tax/,1036,1189,1259,1.2152509652509653,121.8976833976834
fb / eh6,fb1-5,遠雄蘴靚｜高雄楠梓新門戶｜捷運R21站旁｜3795坪豪闊基地,/buildings/eh6/,1135,1146,1151,1.0140969162995594,2.0854625550660795
fb / dh6,1,【遠雄蘊合】千坪旗艦，親水生活｜收納中西區最美流動26-43坪．新案早鳥預約,/buildings/dh6/,1050,1075,1107,1.0542857142857143,13.188571428571429
line / bh11,26_2-2,遠雄14期首發【遠雄丰尚】北屯新案．近漢神洲際百貨,/buildings/bh11/,953,1071,1103,1.1573976915005246,8.176285414480587
google / cpc,brand,遠房實價登錄,/,993,1027,1346,1.3554884189325276,0.5468277945619335
google / organic,(organic),自用住宅免稅400萬怎麼申請？「持有、設籍、實住」3點不能忽略 | 專家觀點地政篇 - 遠雄房地產,/life-proposal/expert_zhu_ownership-criteria/,893,998,1043,1.167973124300112,101.47032474804031
google / cpc,(organic),遠雄一靚｜楠梓新案．高大特區首發｜早鳥預約中,/buildings/eh2/,958,988,1043,1.0887265135699373,22.747390396659707
fb / hm2,0403,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,871,897,917,1.0528128587830081,0.9977037887485649
(not set),20260407一輪播,遠雄蘴靚｜高雄楠梓新門戶｜捷運R21站旁｜3795坪豪闊基地,/buildings/eh6/,462,866,638,1.380952380952381,10.530303030303031
google / cpc,0405,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,801,850,886,1.1061173533083646,5.932584269662922
line / dgm1,line-lap202511-1,大河商爵-台北市士林區廠辦/預售新建案-預約賞屋，遠創力行銷,/buildings/dgm1/,504,849,1112,2.2063492063492065,24.817460317460316
google / cpc,(organic),遠雄琉蘊 -台中市西屯區七期預售屋/新建案-預約賞屋，遠雄房地產,/buildings/bh5/,803,848,959,1.194271481942715,29.09090909090909
google_kw / dh2,(organic),台南永康新建案【遠雄山禾】-鹽行特區．3-4房,/buildings/dh2/,804,843,897,1.1156716417910448,22.013681592039802
google / organic,(organic),戶籍遷入辦理教學｜買房後戶籍異動流程與準備文件全攻略 - 遠雄房地產,/life-proposal/land_household_registration/,703,833,881,1.2532005689900427,70.62446657183499
google / organic,(organic),新青安貸款全攻略：申請資格、利率比較與流程，買房族必看！ - 遠雄房地產,/life-proposal/seo_youth-home-loan/,656,790,826,1.2591463414634145,100.1280487804878
fb / eh6,fb1-1,遠雄蘴靚｜高雄楠梓新門戶｜捷運R21站旁｜3795坪豪闊基地,/buildings/eh6/,769,777,782,1.0169050715214565,4.689206762028609
fb / dh6,1,遠房實價登錄,/,767,776,806,1.0508474576271187,0
line-lap / eh2,20260407D,遠雄一靚｜楠梓新案．高大特區首發｜早鳥預約中,/buildings/eh2/,559,773,814,1.4561717352415027,15.880143112701253
google_kw / dh2,(organic),遠房實價登錄,/,740,769,860,1.162162162162162,0.7432432432432432
google / organic,(organic),遠雄合雅｜板橋之心・合院之上｜2~4房．24~66坪,/buildings/fh2/,576,754,848,1.4722222222222223,50.314236111111114
google_kw / h713,(organic),遠雄幸福成｜全新落成 - 台中市清水區預售/新建案-預約賞屋，遠雄房地產,/buildings/h713/,669,722,803,1.2002989536621824,31.423019431988042
line / bh11,26_3-9,遠雄14期首發【遠雄丰尚】北屯新案．近漢神洲際百貨,/buildings/bh11/,592,720,751,1.2685810810810811,7.787162162162162
(direct) / (none),(direct),高雄建案推薦【遠雄峰蘊】- 三民區預售屋．近科工館,/buildings/eh1/,698,704,728,1.0429799426934097,9.02865329512894
(direct) / (none),(direct),北士科建案【遠雄明玥】2000坪全街廓只蓋一棟．25-46坪,/buildings/ah1/,696,701,470,0.6752873563218391,9.645114942528735
(direct) / (none),(direct),遠雄合雅｜板橋之心・合院之上｜2~4房．24~66坪,/buildings/fh2/,645,654,597,0.9255813953488372,12.237209302325581
line / rsh1,line-lap1-5,遠房實價登錄,/,540,639,679,1.2574074074074073,0
line-lap / eh2,20260407E,遠雄一靚｜楠梓新案．高大特區首發｜早鳥預約中,/buildings/eh2/,502,639,670,1.3346613545816732,14.392430278884461
line-lap / eh2,20260407B,遠雄一靚｜楠梓新案．高大特區首發｜早鳥預約中,/buildings/eh2/,473,633,670,1.4164904862579282,23.77801268498943
google / cpc,brand,遠雄沐蘊-高雄市三民區預售屋/新建案-預約賞屋,/buildings/eh5/,582,606,670,1.1512027491408934,30.38659793814433
line-lap / eh2,20260407C,遠雄一靚｜楠梓新案．高大特區首發｜早鳥預約中,/buildings/eh2/,488,603,634,1.2991803278688525,22.645491803278688
(direct) / (none),(direct),若水秧翠｜東京視野・頂埔門牌｜1~3房．20~42坪,/buildings/rsh1/,588,599,418,0.7108843537414966,14.183673469387756
line-lap / eh2,20260407A,遠雄一靚｜楠梓新案．高大特區首發｜早鳥預約中,/buildings/eh2/,458,598,619,1.351528384279476,10.724890829694322
