來源/媒介,廣告活動,網頁標題,網頁路徑,所有使用者,工作階段,瀏覽,平均觀看次數,平均使用者參與
line-lap / ar1,20250718,齊興_緻-台北市北投區/北士科住宅預售屋,/buildings/ar1/,26225,35163,35094,1.338188751191611,7.4166634890371785
google / cpc,20250718,齊興_緻-台北市北投區/北士科住宅預售屋,/buildings/ar1/,22833,24948,26796,1.1735645775850743,5.7881136950904395
google / cpc,20250718,遠雄信義CENTER-新北市板橋區廠辦.商辦/預售新建案-預約賞屋,/buildings/fm3/,15837,21715,23058,1.4559575677211594,13.407210961672034
google / cpc,20250803,遠雄高雄新案｜楠梓新案．高大特區首發｜早鳥預約中,/buildings/eh2/,11235,12502,13616,1.2119270137961726,6.463373386737873
line-lap / ar1,20250718,遠房實價登錄,/,10243,11766,11839,1.1558137264473298,0
google / cpc,20250718,遠房實價登錄,/,10505,10661,11395,1.0847215611613517,0
(direct) / (none),(direct),遠房實價登錄,/,5053,5122,5506,1.0896497130417573,0.29249950524440926
line-lap / dh2,13,台南永康新建案【遠雄山禾】-鹽行特區．3-4房,/buildings/dh2/,2689,3275,3336,1.2406098921532167,19.16102640386761
google / organic,(organic),贈與稅與遺產稅免稅額提高，房屋轉讓給子女的規劃要點 - 遠雄房地產,/life-proposal/gift_tax/,2855,3239,3412,1.1950963222416813,147.3369527145359
line-lap / dh2,14,台南永康新建案【遠雄山禾】-鹽行特區．3-4房,/buildings/dh2/,2566,3236,3308,1.289166017147311,13.818394388152766
socialmedia / bh8,dcard_202508,台中西屯建案【遠雄洄山行】．2-4房方正格局,/buildings/bh8/,2750,3113,3145,1.1436363636363636,10.548363636363636
line-lap / dh2,12,台南永康新建案【遠雄山禾】-鹽行特區．3-4房,/buildings/dh2/,2538,3104,3203,1.2620173364854217,16.57249802994484
google / cpc,20250829,遠雄14期首發【遠雄丰尚】北屯新案．近漢神洲際百貨,/buildings/bh11/,2946,3038,3365,1.1422267481330617,4.245756958587916
google / cpc,(organic),遠房實價登錄,/,2641,2804,3282,1.2427110942824688,2.037485800833018
line-lap / bh10,line-lap20257-5,北屯敦富路【遠雄敦富】- 北屯機捷預售屋．近好市多,/buildings/bh10/,1761,2737,3157,1.7927314026121521,20.185689948892673
line-lap / dh2,13,遠房實價登錄,/,2182,2631,2720,1.2465627864344637,0.027497708524289642
line-lap / dh2,14,遠房實價登錄,/,2074,2586,2687,1.2955641272902603,0.05448408871745419
line-lap / dh2,12,遠房實價登錄,/,2090,2541,2630,1.2583732057416268,0.07033492822966507
line-lap / bh10,line-lap20256-8,北屯敦富路【遠雄敦富】- 北屯機捷預售屋．近好市多,/buildings/bh10/,1490,1972,2181,1.463758389261745,14.949664429530202
