來源/媒介,廣告活動,網頁標題,網頁路徑,所有使用者,工作階段,瀏覽,平均觀看次數,平均使用者參與
fg / button,SEO,遠雄房地產預約賞屋(線上賞屋與預約賞屋),/make_appointment/,3,3,8,2.66666666666666,29.6666666666666
fg / button,SEO,遠雄房地產：最懂生活的購屋專家,/,2,2,3,1.5,19.5
fg / button,SEO,您正在找 隱私權條款 - 遠雄房地產,/,1,1,1,1.0,2.0
fg / button,SEO,關於我們｜從建築到永續服務，全方位成就圓夢生活,/about/,1,1,1,1.0,7.0
fg / button,SEO,活動報報：最新活動一覽與公告資訊 -遠雄房地產,/activity_report/,1,1,1,1.0,0.0
fg / button,SEO,活動一覽：建案活動與會員好禮 -遠雄房地產,/activity_report/activities_glance/,1,1,1,1.0,65.0
fg / button,SEO,熱銷建案：預售屋、新建案、新成屋 -遠雄房地產,/case/,1,1,1,1.0,0.0
fg / button,SEO,熱銷建案一覽：遠雄全台預售屋、新建案、新成屋資訊,/case/search/,1,1,1,1.0,7.0
fg / button,SEO,關於我們｜遠雄房地產服務條款，守護用戶使用權益，確保資訊安全,/terms-of-service/,1,1,1,1.0,0.0
fg / button,SEO,服務條款暨隱私權聲明 -遠雄房地產,/terms-of-service_and_privacy/,1,1,1,1.0,8.0
