來源/媒介,廣告活動,網頁標題,網頁路徑,所有使用者,工作階段,瀏覽,平均觀看次數,平均使用者參與
fg / popup,BH6_store,遠雄蘴靚｜高雄楠梓新門戶｜捷運R21站旁｜3795坪豪闊基地,/buildings/eh6/,1,3,3,3.0,0.0
fg / button,hm2,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,2,2,2,1.0,7.0
fg / button,SEO,2026首季商用不動產998億新高！AI與半導體剛需成最強支柱,/,1,1,0,0.0,0.0
fg / button,hm2,遠房實價登錄,/,1,1,1,1.0,0.0
fg / button,SEO,遠雄房地產：最懂生活的購屋專家｜卓越建築品質，圓滿您的家,/,1,1,1,1.0,0.0
fg / popup,BH6_store,「遠雄藝舍」限時限量定簽168萬起，立即預約賞屋 - 遠雄房地產,/activity-report/bh6_20230714/,1,1,1,1.0,9.0
fg / button,5vo1,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,1,1,1,1.0,0.0
fg / button,SEO,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,1,1,1,1.0,0.0
fg / button,hm2,遠雄THE ONE-高雄市前鎮區新成屋/新建案-預約賞屋,/buildings/o1/,1,1,1,1.0,0.0
fg / button,SEO,夫妻買房登記誰名下？律師拆解共同持有與借名登記風險,/life-proposal/expert_law_y-rlee_joint-ownership/,1,1,1,1.0,3.0
fg / button,reservation,遠雄房地產預約賞屋：線上看房結合實體導覽，開啟智慧購屋新體驗,/make_appointment/,1,1,1,1.0,0.0
fg / button,SEO,台南預售屋全攻略：最新行情、熱門區域房價與建案挑選祕訣 - 遠雄房地產,/life-proposal/area_presold-house-in-tainan/,0,1,1,,
