來源/媒介,廣告活動,網頁標題,網頁路徑,所有使用者,工作階段,瀏覽,平均觀看次數,平均使用者參與
fg / button,hm2,遠雄MetaLink科技園區 | 3700坪超旗艦 森態企業總部,/buildings/hm2/,15,15,15,1,2.2
fg / button,fm3,遠雄信義CENTER-新北市板橋區廠辦.商辦/預售新建案-預約賞屋,/buildings/fm3/,10,10,10,1,10.0
fg / button,SEO,遠雄房地產預約賞屋：線上看房結合實體導覽，開啟智慧購屋新體驗,/make_appointment/,9,9,9,1,0.555555555555555
fg / button,fm3,遠房實價登錄,/,8,8,8,1,0.0
fg / button,SEO,熱銷建案一覽：遠雄全台預售屋、新建案與新成屋，尋獲理想家園,/case/search/page/5/,7,7,7,1,0.714285714285714
fg / post,SEO,買房別只看所有權！地政士解析：車位、頂加、露台的法律權益攻略,/life-proposal/expert_zhu_house-purchase-risks/,7,7,7,1,19.2857142857142
fg / button,reservation,遠雄房地產預約賞屋：線上看房結合實體導覽，開啟智慧購屋新體驗,/make_appointment/,6,6,6,1,1.0
fg / button,SEO,遠雄房地產：最懂生活的購屋專家｜卓越建築品質，圓滿您的家,/,1,5,5,5,29.0
fg / button,SEO,熱銷建案一覽：遠雄全台預售屋、新建案與新成屋，尋獲理想家園,/case/search/,3,3,3,1,0.333333333333333
fg / post,SEO,如何防範裝潢詐騙？室內裝修合約必備條款與律師防詐指南,/life-proposal/expert_law_y-rlee_renovation-fraud/,3,3,3,1,15.3333333333333
fg / post,SEO,成屋延後交屋怎麼辦？地政士教你預告登記防風險,/life-proposal/expert_zhu_video_delay/,2,2,2,1,1.0
fg / button,SEO,【聯上智科】輝達軸線核心｜北士科福國路首排，純商辦地標，符合ESG指標｜預約尊榮鑑賞 遠雄房地產 聯上智科,/buildings/5vo1/,1,1,1,1,6.0
fg / article,BN,遠雄14期首發【遠雄丰尚】北屯新案．近漢神洲際百貨,/buildings/BH11/,1,1,1,1,0.0
fg / article,BN,北士科建案【遠雄明玥】2000坪全街廓只蓋一棟．25-46坪,/buildings/ah1/,1,1,0,0,0.0
fg / post,SEO,遠雄MetaLink科技園區 | 3700坪超旗艦 森態企業總部,/buildings/hm2/,1,1,1,1,9.0
fg / post,SEO,遠雄房地產,/integrate,1,1,2,2,0.0
fg / button,SEO,空屋率高房價就會跌？揭開台灣房市「愈空愈貴」的結構真相,/life-proposal/expert_hoshichang_vacancy-rate/,1,1,1,1,2.0
fg / article,BN,贈與稅與遺產稅免稅額解析｜房產贈與、買賣、繼承怎麼選 - 遠雄房地產,/life-proposal/gift_tax/,1,1,0,0,57.0
fg / post,SEO,生活提案： 專家房市觀點、空間美學指南 -遠雄房地產,/life_proposal/,1,1,1,1,2.0
fg / post,SEO,專家觀點：解析最新房市動向與購屋建議，遠雄房地產深度置產指引,/life_proposal/experts_point/,1,1,1,1,2.0
